City,Branch,Day,Month,Date,Time,Sale,Year,Id,Reviews,Emotion,Positive,Negative,Neutral
Kuala Lumpur,McDonald's Bukit Bintang,"""Sun",Jun,2,6:57:15 AM,3,"2019"", ","""1209367415877853185"", ","""3 bros take on another level with McDonald's 3X Spicier Ayam Goreng for #WhereGotSpicyChallenge!"" ""Taste & texture: It was really good and tender.""",Joy,0.142,0,0.858
Johar,McDonald's Holiday Plaza,"""Tue ",Jun,4,11:52:51 AM,2,"2019"", ","""1162331383802540032"", ","""Mungkin sbb aku dah biasa dgn kepedasan Samyang sbb selalu makan. TAPI!! PART YG MASUJ TANDAS LEPAS MAKAN TU"", ""Upon the first bite, we didn’t really feel the heat but we did feel a slight tingle our my tongues. After a few bites of the red colour skinned chicken breast, we started to feel a little sweaty! Too good I must say""",Joy,0.071,0,0.929
Kuala Lumpur,McDonald's Bangsar,"""Wed ",Jun,5,12:34:29 PM,1,"2019"", ","""1161617083035033600"", ","""McD #wheregotspicychallenge done! Macam tiada"", ""Spiciness: At a good level that wasn’t too overwhelming for us.""",Joy,0.186,0,0.814
Petaling Jaya,McDonald's SS 2,"""Wed",Jun,5,12:19:15 PM,1,"2019"", ","""1160163698524033030"", ","""3x Extra Spicy McD Fried Chicken Challenge! Woahh The chicken was fresh out of the fryer – due to the super high demand so it was still hot and crunchy.""",Joy,0.227,0.044,0.729
Selanor,McDonald's Kepong,"""Thu",Jun,6,2:32:33 PM,1,"2019"", ","""1159834858031419392"", ","""Muzik Paling Hangat bersama Shuk, Shuib & Fizie, Deen & Haziq dan Zetty.""""wheregotspicy""",Fear,0,0,1
Johar,McDonald's Titiwangsa DT,"""Thu",Jun,6,2:27:41 PM,1,"2019"", ","""1159833632334209024"", ","The fried chicken eating story is 3x spicy. ""This swirling fried chicken from the hell of the seven spicy NOT FUCKING SIDE HEALTHY EATING MY HEAD WHEN I HAVE ANOTHER PERIOD. SPECIAL RELEASE SPENDER""",Joy,0.083,0.195,0.722
Kuala Lumpur,McDonald's SOGO,"""Thu",Jun,6,2:17:37 PM,1,"2019"", ","""1159831100283162625"", ","""Tapi sampai berpeluh-peluh lah makan Ayam Goreng McD Ekstra Pedas, 3X lebih peda\u2026""""Menahan pedas demi RM5,500, sanggup? tak?""",Surprise,0,0,1
Johar,McDonald's Holiday Plaza,"""Thu",Jun,6,2:14:23 PM,4,"2019"", ","""1159830286705631235"", ","""Go and try eating it with ghost pepper. You’re going to poop blood."" Ayam Goreng McD Ekstra Pedas, 3X lebih peda""",Joy,0,0.103,0.897
Johar,McDonald's Leisure Mall Cheras,"""Thu",Jun,6,2:13:34 PM,2,"2019"", ","""1159830079255355394"", ","""The skin is extremely crispy and in a shade of mouth-watering bright red. As always, the meat is moist and tender.Experience this burning sensation""",Joy,0.116,0,0.884
Johar,McDonald's Segamat,"""Fri ",Jun,7,2:10:51 PM,1,"2019"", ","""1159829395088891907"", ","""Menahan pedas demi RM5,500, sanggup? tak? Tapi sampai berpeluh-peluh ah makan Ayam Goreng McD Ekstra Pedas, 3X ""Muzik Paling Hangat bersama Shuk, Shuib & Fizie, Deen & Haziq dan Zetty.""join #WhereGotSpicyChallenge!",Joy,0,0,1
Johar,McDonald's Muar,"""Sat",Jun,8,7:20:30 AM,1,"2019"", ","""1159726127276908544"", ","""McDonald Malaysia just released the Extra Spicy Ayam Goreng."", ""So storytime – eating McD’s 3x spicy fried chicken. This fried chicken is truly from the seventh layer of hell for being too spicy. Damn. I really regret eating it. My stomach hurts so much, I pooped until my underwear got a hole."" ",Joy,0.049,0.227,0.724
Johar,McDonald's Jalan Tebrau DT,"""Sat",Jun,8,2:23:47 AM,4,"2019"", ","""1159651457949290497"", ",""" #WhereGotSpicyChallenge so late serving of order extremely disappointed""",Anger,0,0,1
Johar,McDonald's Plaza Angsana ,"""Sat",Jun,8,2:02:15 PM,1,"2019"", ","""1159464844032012288"", ","""Food Hunting gaiss hehehe.. #wheregotspicychallenge #ayamgorengmcd #mcdonalds #3xpedas ",Joy,0,0,1
Melaka,McDonald's Taman Buaya DT,"""Sat",Jun,8,8:40:33 AM,1,"2019"", ","""1159383887166025728"", ","""Join Cabaran #WhereGotSpicyChallenge Ini Kalau Korang Betul-Betul Tahan Pedas, Ada Berani?  ""All Malaysia News & International News, the only app you need to read news in Malaysia and Int'l News""",Joy,0.073,0,0.927
Melaka,McDonald's Dataran Pahlawan,"""Sun",Jun,9,11:44:14 AM,5,"2019"", ","""1159067723994783744"", ","""I’m utterly disgusted with your trick to force customer to eat this piece of junk! It is inedible beyond comprehension and nothing is so great with this recipe of yours!!!""",Joy,0.167,0.128,0.705
Melaka,McDonald's Melaka Sentral,"""Sun",Jun,9,2:30:11 AM,2,"2019"", ","""1158928294449823745"", ","""Menahan pedas demi RM5,500? Korang pun boleh join #WhereGotSpicyChallenge makan Ayam Goreng McD Ekstra Pedas""",Joy,0.136,0,0.864
